"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "PostCSS", "MS SQL", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\ashis\quizzy\quiz-app\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 26, 179
"c:\Users\ashis\quizzy\quiz-app\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\ashis\quizzy\quiz-app\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 9, 72
"c:\Users\ashis\quizzy\quiz-app\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\ashis\quizzy\quiz-app\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\Users\ashis\quizzy\quiz-app\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 20, 237
"c:\Users\ashis\quizzy\quiz-app\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 12, 129
"c:\Users\ashis\quizzy\quiz-app\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 118
"c:\Users\ashis\quizzy\quiz-app\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"c:\Users\ashis\quizzy\quiz-app\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\ashis\quizzy\quiz-app\components\ui\question-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 2, 11, 93
"c:\Users\ashis\quizzy\quiz-app\components\ui\quiz-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 11, 242
"c:\Users\ashis\quizzy\quiz-app\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"c:\Users\ashis\quizzy\quiz-app\components\ui\resizable-navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 267, 0, 1, 23, 291
"c:\Users\ashis\quizzy\quiz-app\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\ashis\quizzy\quiz-app\components\ui\result-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 1, 11, 124
"c:\Users\ashis\quizzy\quiz-app\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
"c:\Users\ashis\quizzy\quiz-app\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 15, 161
"c:\Users\ashis\quizzy\quiz-app\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\ashis\quizzy\quiz-app\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 16, 142
"c:\Users\ashis\quizzy\quiz-app\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 700, 0, 11, 55, 766
"c:\Users\ashis\quizzy\quiz-app\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\ashis\quizzy\quiz-app\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\ashis\quizzy\quiz-app\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
"c:\Users\ashis\quizzy\quiz-app\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\ashis\quizzy\quiz-app\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 118
"c:\Users\ashis\quizzy\quiz-app\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 8, 56
"c:\Users\ashis\quizzy\quiz-app\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\ashis\quizzy\quiz-app\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 14, 130
"c:\Users\ashis\quizzy\quiz-app\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\ashis\quizzy\quiz-app\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"c:\Users\ashis\quizzy\quiz-app\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\ashis\quizzy\quiz-app\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"c:\Users\ashis\quizzy\quiz-app\components\ui\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\ashis\quizzy\quiz-app\components\ui\use-toast.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\ashis\quizzy\quiz-app\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\ashis\quizzy\quiz-app\hooks\use-toast.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\ashis\quizzy\quiz-app\lib\api.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\ashis\quizzy\quiz-app\lib\redis.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\quizzy\quiz-app\lib\types.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 76
"c:\Users\ashis\quizzy\quiz-app\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ashis\quizzy\quiz-app\middleware.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 45
"c:\Users\ashis\quizzy\quiz-app\next.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\ashis\quizzy\quiz-app\package.json", "JSON", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 84
"c:\Users\ashis\quizzy\quiz-app\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4029, 0, 912, 4941
