Date : 2025-08-26 16:23:23
Directory : c:\Users\ashis\quizzy
Total : 184 files,  20958 codes, 512 comments, 3252 blanks, all 24722 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| quiz-backend\src\types                                                     |         11 |        159 |         17 |         33 |        209 |
| quiz-backend\src\types (Files)                                             |          1 |          7 |          0 |          1 |          8 |
| quiz-backend\src\types\ai                                                  |          2 |         20 |          7 |          4 |         31 |
| quiz-backend\src\types\ai (Files)                                          |          1 |         19 |          0 |          3 |         22 |
| quiz-backend\src\types\ai\parsedoc                                         |          1 |          1 |          7 |          1 |          9 |
| quiz-backend\src\types\controllers                                         |          2 |         45 |          1 |         10 |         56 |
| quiz-backend\src\types\express                                             |          2 |         33 |          0 |          5 |         38 |
| quiz-backend\src\types\routes                                              |          2 |         30 |          2 |          8 |         40 |
| quiz-backend\src\types\utils                                               |          2 |         24 |          7 |          5 |         36 |
| quiz-backend\src\utils                                                     |          8 |        178 |         42 |         32 |        252 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\ashis\quizzy\README.md                                            | Markdown           |        331 |          0 |          0 |        331 |
| c:\Users\ashis\quizzy\quiz-app\app\(auth)\login\page.tsx                   | TypeScript JSX     |        192 |          2 |         17 |        211 |
| c:\Users\ashis\quizzy\quiz-app\app\(auth)\register\page.tsx                | TypeScript JSX     |        186 |          0 |         12 |        198 |
| c:\Users\ashis\quizzy\quiz-app\app\api\cookie\route.ts                     | TypeScript         |         17 |          0 |          6 |         23 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\layout.tsx                    | TypeScript JSX     |         32 |          0 |          3 |         35 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\notifications\page.tsx        | TypeScript JSX     |         27 |          0 |          1 |         28 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\page.tsx                      | TypeScript JSX     |        136 |          0 |         15 |        151 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\profile\page.tsx              | TypeScript JSX     |         39 |          1 |          3 |         43 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\quizzes\[id]\page.tsx         | TypeScript JSX     |        376 |          1 |         31 |        408 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\quizzes\create\page.tsx       | TypeScript JSX     |        234 |          4 |         17 |        255 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\quizzes\page.tsx              | TypeScript JSX     |         99 |          0 |         10 |        109 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\results\[id]\page.tsx         | TypeScript JSX     |        462 |          1 |         40 |        503 |
| c:\Users\ashis\quizzy\quiz-app\app\dashboard\results\page.tsx              | TypeScript JSX     |         87 |          0 |          6 |         93 |
| c:\Users\ashis\quizzy\quiz-app\app\globals.css                             | PostCSS            |        110 |          2 |         32 |        144 |
| c:\Users\ashis\quizzy\quiz-app\app\layout.tsx                              | TypeScript JSX     |         43 |          3 |          2 |         48 |
| c:\Users\ashis\quizzy\quiz-app\app\notion-auth\page.tsx                    | TypeScript JSX     |         79 |          0 |         14 |         93 |
| c:\Users\ashis\quizzy\quiz-app\app\notion\login\page.tsx                   | TypeScript JSX     |         38 |          0 |          5 |         43 |
| c:\Users\ashis\quizzy\quiz-app\app\page.tsx                                | TypeScript JSX     |         85 |          1 |         10 |         96 |
| c:\Users\ashis\quizzy\quiz-app\app\post-login\page.tsx                     | TypeScript JSX     |         39 |          0 |          5 |         44 |
| c:\Users\ashis\quizzy\quiz-app\app\sign-in\[[...signin]]\page.tsx          | TypeScript JSX     |         11 |          0 |          2 |         13 |
| c:\Users\ashis\quizzy\quiz-app\app\sso-callback\page.tsx                   | TypeScript JSX     |          4 |          0 |          1 |          5 |
| c:\Users\ashis\quizzy\quiz-app\app\test\page.tsx                           | TypeScript JSX     |         24 |         14 |          7 |         45 |
| c:\Users\ashis\quizzy\quiz-app\components.json                             | JSON               |         21 |          0 |          0 |         21 |
| c:\Users\ashis\quizzy\quiz-app\components\Footer.tsx                       | TypeScript JSX     |        154 |          5 |          8 |        167 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\CTA.tsx                  | TypeScript JSX     |         30 |          0 |          2 |         32 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\Features.tsx             | TypeScript JSX     |          0 |        108 |          7 |        115 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\Hero.tsx                 | TypeScript JSX     |         75 |          0 |          6 |         81 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\HowitWorks.tsx           | TypeScript JSX     |        130 |          1 |          6 |        137 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\Info.tsx                 | TypeScript JSX     |         19 |          0 |          2 |         21 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\LandingNavbar.tsx        | TypeScript JSX     |         92 |          1 |          5 |         98 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\Notification.tsx         | TypeScript JSX     |        134 |          1 |          8 |        143 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\SafariDashboard.tsx      | TypeScript JSX     |         26 |          0 |          6 |         32 |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\Testimonials.tsx         | TypeScript JSX     |        123 |          1 |          6 |        130 |
